Cleaned_Dialogue,Song Recommendations
phoebe im alone doesn’t mean wanna walk aroundnaked mean live alone dont walk around naked,Royals
uhhuh think takes long answer door,Middle Of A Breakup
far trip vegas better worse trip tolondon,Cake By The Ocean
pretty much pheebs,Don't Panic
yeah guess little better,Calm Down
feel really forgot present,Bad Liar
ohh thats,Toxicity
whatwhat richard thing,Toxicity
okay umm ran richard yesterday asked wanted togo bite reason didnt tell knew youd get madand didnt want spoil anniversary,Monster
um whatwhat ross,Bleed
oh soso werent trying entice youryournakedness,Toxicity
werent trying entice nakedness,Bleed
noo thought actually thought wanted sex withyou,B.Y.O.B.
ohh wow i’m sorry ross kicked shoes,Beautiful Alien (feat. AI AM) - Radio Edit
forget ever happened,Nothing Else Matters
yes course absolutely youre right im sorry,Hall of Fame (feat. will.i.am)
okay oh wait one thing umm dodo still need uh settle thequestion us,Chop Suey!
phoebe dont eat animals,B.Y.O.B.
oh god,Hail to the King
whatwhat guys thought told come,Toxicity
well movie got shutdown ran money im workinghere til starts ever,Middle Of A Breakup
im sorry,Don't Let The Light Go Out
nono thats okay apparently theres new policy donthave share everything everybody,Lose Yourself
noo wouldve cool,Clarity
meant nothing okay time,Eye For an Eye
go lunching hunky moustache men dont tell aboutit,Duality
youre right im sorry shouldve told,Don't Let The Light Go Out
aww go,Paradise
see mean cant tell,Symphony Of Destruction - Remastered 2012
oh yknow youre gonna acting like night reallyi dont even want around,Eye For an Eye
im sorry im done im done,Build God
yknow last night embarrassing,I Bet My Life
really mean youve seen naked hundreds times,Hall of Fame (feat. will.i.am)
uhhuh first rest building,Don't Panic
totally get embarrassed,Chop Suey!
dont ross think im secure person,Astronaut In The Ocean
hey yknow roman times hat,YOUTH
yeah sure sure would uh would scrub floors theywould use get mud shoe sometimes underneath horse would getdirty would stick right…,Nearly Witches (Ever Since We Met...)
yeahyeah playing blackjack like hour 5000can believe 5000,We Are Young (feat. Janelle Monáe)
wait minute dont guy ill take 100 andturn 5000,You Just Haven't Thought of It Yet
chandler dont need luck thought,Royals
cant believe like worst night ever,All We Know
crazy mean stupid argument dont even wannasee richard,Duality
go fix go find chandler hes probably room tell himthat youre sorry love,Love The Way You Lie
hmm,Don't Panic
ross you… im sorry sir think reallylikes,Sarah Smiles
yes im sorry extra pants umm friend seems tohave little accident,Free Bird - Edit
whats sound like guy identical hands wasincredible chandler dealers hands exactly like itit like looking atmy hands mirror,Immigrant Song - Remaster
don’t see means forget stupid movieim gonna millionaire,Can't Hold Us (feat. Ray Dalton)
look dont worked yet gotta mean big moneycome identical hands,Smooth Criminal - 2012 Remaster
must go back,Rain
support 100 didnt didnt get right awayyknow im caught identical hand twins milliondollar idea,High Hopes
ohh,We Are Young (feat. Janelle Monáe)
would stop wanna know first thing said shecame back lunch richard didnt feel anything loves,Señorita
yes feels terrible really wants make gottafind,Wrong
ahh,Kaer Morhen
ugh,Duality
thats like third time ladys machine playing,In Waves
oooohhh ill bet shes one people,All We Know
mmmole people,Raining Blood
nono lurker,Toxicity
oh whats lurker,Sugar
okay youre playing machine hasnt paid lurker waitsfor give then…,Attention
kills,Heaven and Hell - 2008 Remaster
swoop steal jackpot,Symphony Of Destruction - Remastered 2012
ohhh,Bonfire
uhhmm,Toxicity
nana used thats paid dance—karatelessons,Clocks
oh god rachrach areareare sure,Raining Blood
hey listen uh talked chandler sorry movie,Free Bird - Edit
dont sorry dont need anymore found identical handtwin,Savage Love (Laxed - Siren Beat)
identical hand twin person whose hands exactly like mine thisthing gold mine,Bugzy Malone
okay well thats feel fine none get livewith great big handshaped mansion except uh pheebs live thethumb,Duality
wait chandler,Toxicity
yeah wanted make dramatic scene hate packing,All We Know
dont know hands guy washere went bathroom,Bleed
busy,I Bet My Life
else say,Heaven and Hell - 2008 Remaster
oh come rach itsits bad,Royals
look idiot drew face doesnt mean shouldnthave fun okay besides heyheyhey one even gonna,Royals
really like macadamia nuts huh,I Feel It Coming
yeah couldnt mad long,Calm Down
ohh get room,Bad Liar
excuse,Bleed
nothing,Bad Liar
okay ah umm ah 8 ah 6,Chop Suey!
get one buy everybody steak dinner,Orinoco Flow
noo,Blackwater Park
ahh ooh try hard 8,Dance Off (feat. Idris Elba & Anderson .Paak)
oh thats lunch rich—me neither okay doi want,Cake By The Ocean
another hard 8,Location
hard 8 call easy 8,Can't Hold Us (feat. Ray Dalton)
rollroll,Sandstorm
shut,Duality
roll another hard eight get married tonight,Something Just Like This
ive never loved anybody much love,Señorita
okay eight comes take sign itwhoa heard matthew perry talking signs las vegas iguess mustve movie saw say,Take Me Back To London (Sir Spyro Remix) [feat. Stormzy
could four five call,New Rules
yeah everyone lurk im gonna lurk first move onto someone else im gonna one step ahead every single time ill beon ass every hour every day til monday thats go home doyou leave,American Idiot
time maybe share cab,Enemy (with JID) - from the series Arcane League of Legends
looklooklook guys need help okay someone going haveto convince hand twin cooperate,LA Devotee
ohh heres macadamia nut,We Are Young (feat. Janelle Monáe)
ohhh,Trndsttr
wanna get room yknow i…i really miss downstairs,Kaer Morhen
okay yknow theres one way im leaving hotel room,New Rules
quarter,Bugzy Malone
quarter,Sugar
cant arrest wont go back wont go back tothat hell hole,Monster
okay come cant get married get something old somethingnew something borrowed something blue,Sandstorm
nonono need something old,Ain't No Rest for the Wicked
dont think,Royals
okay need something borrowed,Blinding Lights
thats stealing,B.Y.O.B.
oh god may say two gentlemen exact samehands theyre identical ive never seen anything like business world,Rock You Like A Hurricane
stop,American Idiot
uhh ms phalange may ask question impartial person atatthis table,Bleed
please stop,Monster
wouldnt pay good money see identical hands showcased sometype uh entertainment venue,Enemy (with JID) - from the series Arcane League of Legends
threw phoebe im ms regina phalange phalange,New Rules
realize four weeks today we’re getting marriedfour weeks baby four weeks,C'mon - Single Version
realize get louder week,Toxicity
there’s still much written vows yet,Sandstorm
right uh written yet,I Dunno (feat. Dutchavelli & Stormzy)
i’m pathetic monica knows wants say youshould’ve seen writing writing writing,Middle Of A Breakup
emergency,Monster
well don’t start something simple like ummmonica moment met,Into the Unknown - Panic! At The Disco Version
everyone chandler,Bugzy Malone
right there’s nuclear holocaust i’m last man onearth would go,Paranoid - 2012 - Remaster
ennnh,Don't Panic
ooh allowed lie vows,Trndsttr
oh y’knowy’know looking upside,Toxicity
well can’t everything look back time together,Then We'll Talk
fair dont even one come get two,Killing In The Name
right ill tell 40 neither one us aremarried say get together one,Can't Hold Us (feat. Ray Dalton)
oh meant hypothetically,Toxicity
something fundamentally unmarriable,Middle Of A Breakup
nothing said said youre great,C'mon - Single Version
didnt,Symphony Of Destruction - Remastered 2012
dont stop stop stop stop,Monster
y’know thinking uh unpack,Sandstorm
you’d going back forth time mean itdoesn’t make sense,Bleed
oh god,goosebumps
oh helping chandler write vows kicked us becausejoey kept making inappropriate suggestions,New Rules
can’t believe four weeks they’re gonna married,Trndsttr
well let’s hope works y’know nine tenmarriages end divorce,Raining Blood
can’t believe they’ve together three years,Everglow
believe seems like less hid us long,Chop Suey!
ive long hard day,I Bet My Life
ahh im gonna go get chicken want,I Feel It Coming
okay im sorry wouldnt leave kept asking aboutchicken,I Bet My Life
chicken could eat chicken,A Million Dreams
yeah get 3piece cole slaw beans,Pumped Up Kicks
don’t know didn’t tell us,Chop Suey!
know mean it’s like weren’t cool,Lose Yourself
yes cannot tell anyone one knows,Heaven and Hell - 2008 Remaster
reason didnt tell anyone didnt want make abig deal,New Rules
please please dont want deal telling everyone okayjust promise wont tell,Paranoid - 2012 - Remaster
oh god,Beautiful Alien (feat. AI AM) - Radio Edit
oh god,Hail to the King
yes know joey knows ross doesnt know stopscreaming,Sugar
nothing oh god excited want get thisapartment,Blinding Lights
okay know know dont know rachelknows,Nearly Witches (Ever Since We Met...)
yes yknow doesnt matter knows enough usknow tell know lying secrets wouldfinally,Can't Hold Us (feat. Ray Dalton)
right honey wed better go wanna catch movie,Can't Feel My Face
bye,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
whos,Chop Suey!
uhhh phoebe joey,Toxicity
oh man think,Royals
ahh yes messers become messies,Buni
kidding,Symphony Of Destruction - Remastered 2012
ugh knew oh cannot believe two,Duality
couldnt even wanted,Toxicity
listen totally getting hand okay wants putlotion,Toxicity
shes bluffing,Not Afraid
hes backing went get lotion,Whatever It Takes
joey look look way sooner phoebe breaks chandlerthe sooner open,Whatever It Takes
go back seduce till cracks,There's a Good Reason These Tables Are Numbered Honey
just—i thought guys didnt know inlove,Bleed
well actually ross doesnt,Free Bird - Edit
could mean pretty soon they’re gonna havingkids they’re gonna hanging couples kidsand maybe they’re gonna leave city near,Demons
don’t want move,I Bet My Life
i’m sorry just…i like things way,Unsainted
hey whos little naked guy,Bleed
little naked guy would,Hall of Fame (feat. will.i.am)
aww look little thing,Young Dumb & Broke
ooh looklooklooklooklook got monica naked,We Are Young (feat. Janelle Monáe)
yeah don’t hear chandler’s doesn’t hear mine,Bleed
don’t get,Chop Suey!
dude howhow write,Cotton Eye Joe
stole monica’s changed name,The Ballad of Mona Lisa
can’t,I Write Sins Not Tragedies
uhhuh,Can't Hold Us (feat. Ray Dalton)
nono one daddy two,Fivio Foreign & Darkoo]
never bike,Flowers
well didn’t lot money girl across streethad,Baby Blue - Remastered 2010
ohh,Toxicity
unfair,American Idiot
i’m sorry,Toxicity
don’t know neighbors,Free Bird - Edit
there’s uh let’s see guy mustache smokesalotlady kids i’ve seen redhaired guy like called rusty,Baby Blue - Remastered 2010
wouldn’t easier moved,Painkiller
well shouldn’t great friends wonderfuljob,Pumped Up Kicks
come it’s big deal stayed night coming witha plan us dating problem,You Just Haven't Thought of It Yet
i’d better get back desk,Not Afraid
i’ve always wanted help clean thisup,Can't Hold Us (feat. Ray Dalton)
basket totally empty god neighbors ate candy,I Don’t Wanna Live Forever (Fifty Shades Darker)
eat neighbor candy,B.Y.O.B.
uh well yeah plan time got wasonly couple pieces left,I Bet My Life
hey mon might wanna make lasagna somethingmight’ve happened huge chunk,Beautiful Alien (feat. AI AM) - Radio Edit
mine stole newspaper it’s like,Friction
ohh ohh,We Are Young (feat. Janelle Monáe)
ahh,Young Dumb & Broke
sorry us,Free Bird - Edit
umm listen sorry i’ll put first thing themorning,I Bet My Life
umhmm,Kaer Morhen
marked confidential sent human resources,Monster
well gets worse asked take initiative wroteyes,Royals
ross sweet get phoebe bike heard thestory almost cried,Señorita
almost cried huh hear chandler almost cried,Viva Las Vengeance
hey cry every time somebody talks,Then We'll Talk
wait minute walking bike times,Bleed
ohh uhhuh much,C'mon - Single Version
pheebs uh…you know ride bike don’t,Nearly Witches (Ever Since We Met...)
