Cleaned_Dialogue,Positive/Negative,Song Recommendations
tasty i’m really starting feel like guys ahistory it’sit’s nice,Positive,Baby Blue - Remastered 2010
peel onion first he’s good looking,Positive,A Million Dreams
knew knew always knew liked yknow she’d sayno right broke first thing,Positive,Hurricane
she’s moving okay it’s guy it’s gonnabe somebody else unless you’re thinking subletting peep hole,Positive,Sugar
yeah go home get back,Positive,The Pot
become penicillin twentyfirst century sotoday hospital take major steps toward leading revolution istruly ironic one hand consider size,Positive,Enemy (with JID) - from the series Arcane League of Legends
oh yeah wasn’t like year ago,Positive,Free Bird - Edit
yknow don’t don’t ‘causeit’s bad,Positive,Whatever It Takes
yeah stupidly charming isn’t’ well listen let’s youwanna get something eat ‘cause place kinda,Positive,Snow (Hey Oh)
man made possible mr peter becker,Positive,Often
ah sliced bread wonderful lady macbeth,Positive,A Million Dreams
god hate hate ‘oh i’m sotalented’ ‘oh i’m pretty’ ‘ooh smell sogood’,Positive,B.Y.O.B.
i’m talking big big freak,Positive,Duality
oh yeah come keep thinking sexualscenarios stuff huh,Positive,Toxicity
guys make fly high okay we’re gonna pick uphere tomorrow,Positive,Can't Feel My Face
yeah yeah definitely improvement g’night,Positive,Paradise
umm i’ll see tomorrow huh,Positive,King of the Clouds
yeah yeah sure goodnight,Positive,Calm Down
it’s like like phil spiderman he’s spider manyknow like ah like goldman last name there’s gold man,Positive,Chop Suey!
oh okay gold man,Positive,Thunder
oh great although sit wasn’t chair,Positive,Toxicity
ahh kind powers would gold man,Positive,Bonfire
okay well would turn things gold,Positive,Fivio Foreign & Darkoo]
okay let’s play game,Positive,Buni
oh figuring wedding plans,Positive,Someone In The Crowd
really crazy hall dress food ii idea expensive stuff,Positive,Heaven and Hell - 2008 Remaster
heard weddings like 40 billion dollar year industry,Positive,Snow (Hey Oh)
ive got say guys thats incredible gesture,Positive,Can't Feel My Face
next time gonna hawaii sunset maybe time,Positive,Enemy (with JID) - from the series Arcane League of Legends
adoption social worker coming today cleaning apartment,Positive,Someone In The Crowd
hey person decides whether get baby,Positive,Toxicity
kind shes coming interview us see live,Positive,The Ballad of Mona Lisa
go perfectly doesnt like something us keep us every adoption list state,Positive,Nightmare
yes make rather sizeable donation children,Positive,People of The Pride
well contribution large small always appreciated,Positive,A Million Dreams
mr x phoebe buffay,Positive,Often
well like include names newsletter,Positive,Whatever It Takes
right well behalf children thank much,Positive,Pumped Up Kicks
sure glad feels good,Positive,Alors on danse - Radio Edit
oh thats ok im sure tons beautiful paleontologists,Positive,Hall of Fame (feat. will.i.am)
one shes rest look like live bridge,Positive,Seven Nation Army
well thinking taking emma playground,Positive,Someone In The Crowd
ok look ross want emma going playground,Positive,Then We'll Talk
ok fine make fun want emma going thinking claire danes,Positive,Monster
look im sorry hear tragedy ok swings perfectly safe besides emma loves know come us youll see,Positive,Can't Hold Us (feat. Ray Dalton)
good don’t want one mothers pass irrational fears children,Positive,New Rules
oh yeah that’s sure thirty different species poisonous swings,Positive,The Ballad of Mona Lisa
awe sweet know won’t needing veil actually won’t wearing dress,Positive,Rock You Like A Hurricane
told coming naked wedding,Positive,B.Y.O.B.
that’s right you’re making commitment that’s whether plaza gonna,Positive,Bleed
already gave money charity,Positive,Free Bird - Edit
that’s sweet honey save something adoption lady,Positive,"Circle of Life (From ""The Lion King"") - From ""The Lion King"" Soundtrack"
promise she’s safe watch much loves,Positive,Girls / Girls / Boys
it’s wedding day right guy gay straight one us gonna start flirting,Positive,C'mon - Single Version
wow make another donation day don’t think that’s ever happened,Positive,Savage Love (Laxed - Siren Beat)
yeah feels really good,Positive,I Feel It Coming
hi monica chandler please come,Positive,Young Dumb & Broke
would like something drink,Positive,Pumped Up Kicks
oh water would fine,Positive,Calm Down
ok great glad we’re really excited getting process started,Positive,Orinoco Flow
ah thank building wholesome family feel,Positive,Calm Down
know feel like ive couples,Positive,Nearly Witches (Ever Since We Met...)
couple first floor get baby,Positive,Don't Panic
yeah really great night morning promised would call,Positive,Snow (Hey Oh)
oh crazy guy roams halls hes great,Positive,Don't Panic
oh oh ross oh god okay,Positive,Raining Blood
ross see told swings evil alright,Positive,Nightmare
okay wasnt swings fault fault kind,Positive,Then We'll Talk
guys everything ok joe,Positive,Heaven and Hell - 2008 Remaster
well talk later bert everythngs fine,Positive,Young Dumb & Broke
oh yeah caretaker older brother ernie,Positive,I Feel It Coming
well must say seems like lovely environment raise child,Positive,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
oh way welcome look furniture,Positive,Lose Yourself
oh well actually look around let make sure everything need,Positive,Don't Panic
uhm ok uhm well yeah got nerve coming back cant believe never called,Positive,Eye For an Eye
dont try turn around ok im kind social work ok,Positive,Chop Suey!
really think come youre beautiful woman smart funny really good time huh number wouldnt call,Positive,You Just Haven't Thought of It Yet
oh thats really ok,Positive,Don't Panic
yeah totally understand dating hard,Positive,I Write Sins Not Tragedies
boy people nice ive got say think youre going make excellent parents,Positive,Young Dumb & Broke
please take check go great wedding wonderful life together,Positive,Yellow
well mean sounds good way save come back years make even bigger donation,Positive,Reminder
absolutely make sure ask brian,Positive,Buni
laura gave us great report officially waiting list,Positive,Body (Remix) [feat. ArrDee
ok got spider two picked bigger one,Positive,Bleed
whoo ok wow ok oh,Positive,Rock You Like A Hurricane
first cookie cookies time,Positive,Bleed
ive never given cookie,Positive,Bad Liar
record ive also never given frosting,Positive,Symphony Of Destruction - Remastered 2012
whooweh hey wehhey whoo hey,Positive,Collar Full
gotta lot nice stuff say guys ok know much wanna baby know would love help get one,Positive,Time of Our Lives
thank alright let see im gonna start dear baby adoption decider people,Positive,Someone In The Crowd
yes today mike oneyear anniversary,Positive,Let Me Love You
oh whats anniversary first date first kiss first time sex,Positive,Bonfire
must going somewhere fancy celebrate,Positive,Sandstorm
hey know ive never oneyear anniversary matter go im wearing something fancy pants im gonna put finest jewelry gonna sex public rest room,Positive,Someone In The Crowd
guys chandler wont even sex,Positive,Bleed
thats people make number two,Positive,Toxicity
well good ideas take shirt,Positive,One of the Drunks
um charlie rachels sister amy amy charlie,Positive,We Are Young (feat. Janelle Monáe)
yeah hey sure days lives guy,Positive,C'mon - Single Version
always nice meet fan,Positive,Levitating
change ella much prettier,Positive,All We Know
know sell middle eastern food cart,Positive,New Rules
hey english getting better,Positive,Fivio Foreign & Darkoo]
know may hottest girl ive ever hated,Positive,Toxicity
right whats news amy,Positive,Someone In The Crowd
oh um well im getting married,Positive,Take Me Back To London (Sir Spyro Remix) [feat. Stormzy
aand fifth elevator opens right living room,Positive,E1 (3x3)
oh hes ok remember old boyfriend mark,Positive,Summer Of '69
huh wow hes gotta,Positive,Sugar
i’m gonna marry myron,Positive,Let Me Love You
ok let’s keep talking,Positive,It's My Life
never thought could love someone much,Positive,Let Me Love You
course it’s smart used thesaurus,Positive,Rock You Like A Hurricane
oh ‘they warm nice people big hearts’,Positive,Young Dumb & Broke
yeah yeah hey really mean dude,Positive,Body (Remix) [feat. ArrDee
know im erin brockovich,Positive,Can't Hold Us (feat. Ray Dalton)
well i’m staying guys,Positive,Often
well joey uhm look know she’s difficult think it’s really good she’s,Positive,Sparks
yeah monica made us,Positive,Levitating
well uhm whatever really appreciated cause don’t think would person today wasn’t guys see wanna help amy way guys helped know it’s gonna take patience that’s ok,Positive,Whatever It Takes
oh sweety can’t pull,Positive,All We Know
amy know thinking maybe itd good time us sit know talk future,Positive,King of the Clouds
oh well bought chandler five hundred dollar watch wrote rap song,Positive,Paradise
well that’s said turns mike planning proposing way last night,Positive,Flashback
oh god mike gonna propose,Positive,Collar Full
oh dont think desperate think amazing,Positive,There's a Good Reason These Tables Are Numbered Honey
think could kind great,Positive,Can't Feel My Face
absolutely youll love feeling theres nothing like,Positive,Can't Hold Us (feat. Ray Dalton)
obviously thinks thats nice way proposed plus hed never suspect,Positive,Rock You Like A Hurricane
ive got work im proposing,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
um want babysitting child,Positive,I Write Sins Not Tragedies
well one thing keeps calling ella,Positive,Toxicity
fine well call next one ella,Positive,Hall of Fame (feat. will.i.am)
ross trying help become better person huge breakthrough offered something another human,Positive,Snow (Hey Oh)
hey joe hows second draft letter coming,Positive,The Ballad of Mona Lisa
great im finished fact dropped agency,Positive,Buni
ella wanted go went shopping got sushi,Positive,Paradise
im fine got present letting stay ready,Positive,Blinding Lights
oh god oh god comes ross hes gonna flip,Positive,Monster
many terrible sights world,Positive,All We Know
hey know kid needs okay needs cool fun aunt,Positive,Bugzy Malone
im cool fun aunt,Positive,Levitating
hey monica cool fun organized indoor projects,Positive,Snow (Hey Oh)
since today going baby stylist,Positive,You Just Haven't Thought of It Yet
knicks fans please turn attention big screen scoreboard someone special question ask,Positive,Collar Full
know ever since got nothing negative,Positive,Eye For an Eye
know moved thought gonna great us sisters back together like kids except without stupid jill oh gotten fat way,Positive,Duality
carbs found see wanted two sisters talking real stuff,Positive,Paradise
yeah kept trying make better person youre youre already pretty perfect version,Positive,Unsainted
phoebe love theres noone else world would ask marry three times wanna take care babies grow old phoebe buffay marry,Positive,Let Me Love You
great almost people dont want hear babies ugly,Positive,All We Know
oh good cause else would get,Positive,Snow (Hey Oh)
oh right oh great,Positive,Toxicity
country club newsletter mother sends engagement notices forinspiration oh god oh god barry mindy,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
oh im sorry oh stupid mean gave barry right ishould happy im happy,Positive,Ain't No Rest for the Wicked
yes yes yes yes really fact funny often someonewho wouldnt think couldcould curl toes might one,Positive,Levitating
alright ive gotta go cmon marcel cmon gonna go take bathyes arent yes,Positive,Temperature
theyre still friends right,Positive,Bad Liar
thats right youre gonna spend tomorrow aunt rachels arent,Positive,Location
well added exactly like part said shes looking forsomeone someone gonna tonight,Positive,The Ballad of Mona Lisa
well think perfect yknow gonna two us shespent day taking care monkey,Positive,Young Dumb & Broke
